tconst,primaryTitle,startYear,genres,lead_actors_ids,runtimeMinutes,averageRating,Language,Country,numVotes,budget,BoxOffice,plot
tt0044138,Too Young to Kiss,1951,"['Comedy', 'Romance']","['nm0004496', 'nm0949574', 'nm0444122', 'nm0175788', 'nm0276849']",91,6.1,,United States,695,1.4,2.3,"Eric Wainwright (Van Johnson), a busy impresario, is besieged by hordes of wannabe concert stars, eager for their big break. One of them is Cynthia Potter (June Allyson), a talented pianist... but she can't get in to see him. When..."
tt4533838,Two Thumbs Up,2015,"['Comedy', 'Crime']","['nm0628757', 'nm0945189', 'nm0473324', 'nm0848377', 'nm0155599']",103,6.1,Cantonese,Hong Kong,693,3.5,5.2,"A criminal fresh out of prison who seeks out his former partners in crime for another heist. And they make a very elaborate plan to carry out the criminal intent, but things turn awry when another gang of criminals hit the same ta..."
tt0476888,"Tom, Dick, and Harry",2006,"['Action', 'Comedy', 'Romance']","['nm0066075', 'nm1384636', 'nm0318622', 'nm0324744', 'nm0004109']",137,3.3,Hindi,India,692,,,"Three disabled friends - deaf Tom, blind Dick and dumb Harry - get caught up in a whirlwind adventure involving two beautiful girls, a kidnapping and a ton of cash."
tt2622156,Two Mothers,2013,['Drama'],"['nm0916563', 'nm5624233', 'nm5624207', 'nm5624287', 'nm5624255']",75,5.5,English,Australia France,692,16.0,1.71,"Katja and Isabella are happily married and feel the time is right to have a child. As the weeks and months pass by, it becomes clear that the process will be far more fraught than either were prepared for."
tt20757810,To the Touch,2022,"['Adventure', 'Drama', 'Thriller']","['nm1669939', 'nm2367180', 'nm0330853', 'nm1166576', 'nm14195442']",86,6.3,English Japanese Icelandic,Iceland United Kingdom Japan,692,,2.75,"Viktor has problems: with work, with his son, because of his son. From worries, he runs away into the forest, settles away from everyone, in a secluded house. Once on a hunt, due to a cartridge exploding in a gun, he loses his sig..."
tt5821704,Toofan,2013,['Action'],"['nm0080238', 'nm2776304', 'nm7932517', 'nm0695177', 'nm0820240']",137,3.2,Hindi Telugu,India,691,,,ACP Vijay Khanna is transferred to Mumbai. He is assigned to an investigation that puts him face to face with the oil mafia.
tt0120371,Train of Shadows,1997,['Drama'],"['nm1253036', 'nm11497464', 'nm2046087']",88,7.3,Spanish,Spain,689,,,"A silent homage to the origins of cinema, recreating the apparent disappearance of a French photographer in the 1920s. Experimental."
tt1721055,Tormented,2011,['Horror'],"['nm2801903', 'nm1071413', 'nm0434596', 'nm3360790']",83,5.1,Japanese,Japan,687,,,"Daigo doesn't go to school anymore. His sister, Kiriko, is worried and their father is no help. Now Daigo is missing. He's in danger, and Kiriko will have to follow him into a world of nightmares to discover the truth."
tt0499435,Treasured Island,2007,"['Adventure', 'Comedy']","['nm0432040', 'nm0746162', 'nm1196219', 'nm0191410', 'nm1446666']",100,3.8,,United Kingdom France West Germany Italy Spain,685,,,
tt1039914,Two-Legged Horse,2008,['Drama'],"['nm3119499', 'nm3119224', 'nm3119588', 'nm3462557', 'nm12650044']",101,7.0,"Persian , Uzbek",Iran,684,,,A wealthy boy hires a poor child to carry him around like a horse.
tt9233428,Toubab,2021,"['Comedy', 'Drama']","['nm10237406', 'nm13872409', 'nm3352729', 'nm2916919', 'nm9936226']",96,6.6,,,683,,,To prevent imminent deportation two small-time gangsters are willing to do anything.
tt2359417,Two Years at Sea,2011,['Documentary'],['nm5001333'],88,6.8,English,United States,680,2.0,635245.7,"After working at sea, a man realizes his dream of moving to the middle of the forest."
tt0044158,Two Tickets to Broadway,1951,"['Musical', 'Romance']","['nm0553149', 'nm0102787', 'nm0808756', 'nm0197655', 'nm0392067']",106,5.6,English,United States,678,,2.0,"Nancy Peterson and her friends want to get a spot on Bob Crosby's TV show, but their agent has linked them."
tt0051097,Top Secret Affair,1957,['Comedy'],"['nm0000018', 'nm0829717', 'nm0000822', 'nm0188669', 'nm0935996']",100,6.2,English,United States,676,,,"Unhappy about the appointment of an army general to the chairmanship of an atomic energy committee, a publishing empire female tycoon invites the general to her country estate in an effort to entrap him and ruin his reputation."
tt0246994,Trimata ot zapasa,1971,"['Comedy', 'Drama', 'War']","['nm0025718', 'nm0331545', 'nm0664072', 'nm0436430', 'nm0563264']",97,8.3,Bulgarian,Bulgaria,676,,,"In 1945, on the battlefields in Hungary, three Bulgarian soldiers from the reserve have to fight for the liberation of the country. They are totally unprepared for the war and have no desire to take part in the battles. The three ..."
tt0075345,Tracks,1976,"['Drama', 'War']","['nm0000454', 'nm0001777', 'nm0753086', 'nm0635649', 'nm0256387']",92,6.3,English,United States,674,,,"A soldier (Dennis Hopper) returns from Vietnam on special assignment, accompanying the body of his friend by train to California for burial. During the trip, he falls in love with a gentle college student. But their relationship i..."
tt2234537,Toto and His Sisters,2014,"['Documentary', 'Drama', 'Family']",,94,8.0,English,United States,673,2.8,25.6,"Totonel (10) and his sisters, Andreea (14) and Ana (17), are waiting for their mother to come back home from prison. As they grow up, each of them learns how to survive on their own, hoping that when their mother returns, the fami..."
tt6079360,Todo sobre el asado,2016,['Documentary'],"['nm8944493', 'nm8944494', 'nm8944504', 'nm8944495', 'nm8944496']",85,6.5,,,672,,,"A trip to the depths of Argentina. Roasting is a meal and a ritual. It is primitive and contemporary, wild and refined, an art and a science. The asado with greater originality the essential features of national identity."
tt0086479,Tricheurs,1984,"['Comedy', 'Drama']","['nm0244850', 'nm0883893', 'nm0764918', 'nm0063393', 'nm0854149']",94,6.2,French,France Portugal Germany,672,,,"Exploring themes of addiction, sexual power games, and compulsive behavior, a powerfully impudent look into the world of gambling addicts, Suzie is cast among a stylish milieu of gamblers on a Portuguese island."
tt1497880,Tropicália,2012,"['Documentary', 'Music']",,87,7.3,Portuguese,Brazil,672,,,"Set against the turbulent atmosphere of the 1960s, Tropicália is a feature length documentary exploring the Brazilian artistic movement known as tropicália, and the struggle its artists endured to protect their right to freely exp..."
tt1646203,Two Faces of My Girlfriend,2007,"['Comedy', 'Drama', 'Romance']","['nm17496025', 'nm5556349', 'nm0094438']",117,6.5,Korean,South Korea,671,,4.2,"Gu-chang meets a sweet, cute girl, also a college student. They date. Later, he discovers her dissociative identity disorder, when she becomes vicious at times."
tt0029685,Tovarich,1937,['Comedy'],"['nm0000964', 'nm0001651', 'nm0178259', 'nm0138885', 'nm0453081']",98,7.1,English,United States,671,,,"After the Russian revolution, a married Russian couple of nobility must take up jobs in Paris in order to survive."
tt1998364,Tom Meets Zizou: Kein Sommermärchen,2011,"['Biography', 'Documentary', 'Sport']",['nm0871149'],136,7.8,German English,Germany,668,,,"The story of German soccer player Thomas Broich, destined to become a star to a whole generation, and his struggle, downfall and eventual rise to personal liberation by taking a step back from a business that only knows black and ..."
tt0110071,Treasure Hunt,1994,"['Action', 'Comedy', 'Crime']","['nm0000334', 'nm0514904', 'nm0157747', 'nm0477231', 'nm0152054']",111,6.2,Cantonese Mandarin English Japanese,Hong Kong,667,,37.03,"A C.I.A. agent is assigned to go to Beijing to look for a hidden ""treasure,"" which turns out to be a woman who has supernatural powers, and is the National Treasure of China."
tt0063650,Torture Me But Kill Me with Kisses,1968,['Comedy'],"['nm0542063', 'nm0865575', 'nm0520859', 'nm0050876', 'nm0867894']",104,6.8,Italian,Italy,667,,,"Marino decided to go to Rome to win back his girlfriend. After many hardships their paths eventually crossed but to his shock, he discovered that she is now married to a deaf and mute man."
tt0907870,To a Tee,2006,"['Comedy', 'Drama', 'Romance']","['nm1979801', 'nm2462630', 'nm2462630', 'nm2462630', 'nm2624774']",64,5.0,English,United States,666,,,A playwright feeds off his stubborn attraction to the wrong type of guy.
tt1542486,Treacle Jr.,2010,['Drama'],"['nm6759191', 'nm1433660', 'nm6759193', 'nm6759194', 'nm3591230']",82,6.9,English,United Kingdom,665,,,"Tom is forty. He walks out one day, rather abruptly, on his wife and baby boy and his seemingly happy life. He finds himself living on the streets of London. One night alone in a park he is mistaken for a gay man and is set upon b..."
tt0045259,Trent's Last Case,1952,"['Crime', 'Drama', 'Film-Noir']","['nm0928697', 'nm0000080', 'nm0564738', 'nm0539942', 'nm0567521']",90,6.0,English,United Kingdom,664,,0.16,"After a wealthy businessman is found dead, reporter Philip Trent is sent to investigate. Against the police conclusions, he suspects the assumed suicide is really a murder, and becomes highly interested in the young widow and the ..."
tt0161029,Two Shades of Blue,1999,['Thriller'],"['nm0000997', 'nm0000616', 'nm0622085', 'nm0461446', 'nm0012960']",103,3.7,English,United States,663,,,"Susan Price has written a #1 bestseller, a steamy novel about a woman's search for the ultimate sexual experience entitled, ""The Dark Side of Judith."" When Susan is framed for the murder of her fiance, billionare publisher Jack Re..."
